Claim ID,Vehicle style,Vehicle color,Vehicle Age,Make,VehiclePrice,Gender,Marital Status,State,Occupation,License Type,Drinking-and-Driving,Collission Types,Accident Reason,Holiday Weeks,AccidentArea,Weather,Accident Date,Claim Date,Police Notification,Passengers #,Repair amount,Sum Insured,Days_Policy_Claim,PastNumberOfClaims,AddressChange_Claim,BasePolicy,DriverRating,Fraud Detected
1,SUV,Yellow,7,Honda,more than 69000,0,Married,NSW,student,O,0,collision with stationary vehicle,Distracted driving,Yes,Urban,Snow/Slushy pavement,28/04/2015,19/08/2018,0,4,"$2,531.00","$2,024.80",more than 30,none,1 year,Liability,1,0
2,SUV,Yellow,3,Honda,more than 69000,0,Single,WA,insurance sales agent,O,0,side swipe,Distracted driving,No,Urban,Icy pavement,1/09/2017,25/01/2012,0,4,"$3,081.00","$2,464.80",more than 30,none,no change,Collision,4,1
3,compacts,White,10,Honda,more than 69000,1,NA,TAS,web developer,L,0,nose-to-tail,Distracted driving,No,Urban,Icy pavement,31/07/2011,17/06/2014,0,2,"$6,764.00","$6,087.60",more than 30,1,no change,Collision,3,0
4,SUV,White,14,Toyota,20000 to 29000,0,Single,WA,flight attendant,O,1,side swipe,Distracted driving,No,Rural,Wet pavement,3/04/2016,14/08/2010,0,1,"$2,811.00","$2,248.80",more than 30,1,no change,Liability,2,0
5,SUV,Blue,15,Honda,more than 69000,0,Single,ACT,office clerks,O,1,collision with reversing,Speeding,No,Urban,Icy pavement,13/02/2016,27/05/2011,0,4,$336.00,$0.00,more than 30,none,no change,Collision,1,1
6,City-cars,Red,11,Honda,more than 69000,1,NA,VIC,Teacher,O,0,side swipe,Driving tired,Yes,Urban,Wet pavement,19/06/2014,27/05/2018,0,0,$440.00,$0.00,more than 30,none,no change,Collision,3,0
7,SUV,Red,3,Honda,more than 69000,0,Married,ACT,college professor,O,1,side swipe,Speeding,Yes,Urban,Rain,13/09/2020,8/02/2015,1,3,"$1,336.00",$935.20,more than 30,1,no change,Collision,1,0
8,compacts,Blue,10,Honda,more than 69000,0,Single,WA,insurance sales agent,O,1,collision with stationary vehicle,Tailgating/aggressive driving,No,Urban,Wet pavement,3/11/2010,27/12/2017,0,2,"$6,927.00","$6,234.30",more than 30,1,no change,Collision,4,0
9,SUV,Black,6,Honda,more than 69000,0,Single,SA,lawyer,O,1,nose-to-tail,Driving drunk,No,Urban,Wet pavement,17/09/2015,1/08/2014,1,1,"$6,047.00","$5,442.30",more than 30,none,no change,Collision,4,1
10,SUV,Black,13,Ford,more than 69000,1,Married,VIC,flight attendant,O,0,collision with an animal,Distracted driving,No,Urban,Rain,16/04/2016,18/12/2016,0,1,"$4,646.00","$3,716.80",more than 30,2 to 4,no change,All Perils,1,1
